<<<<<<< HEAD
変数の定義の時間は                        : 0.029067277908325195秒
model_loaderの処理時間は                 : 0.028984546661376953秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15689563751220703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2138690948486328秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18378901481628418秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2519340515136719秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20340442657470703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2043466567993164秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15150094032287598秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20600152015686035秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1537008285522461秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20296263694763184秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15498113632202148秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20718050003051758秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15636086463928223秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20587468147277832秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15413618087768555秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20545315742492676秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15288472175598145秒
ネットワークから姿勢データを得るまでの時間は　 : 0.21688342094421387秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15768051147460938秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2010488510131836秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15697336196899414秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2015984058380127秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16216039657592773秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20772242546081543秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15308070182800293秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2023320198059082秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15505695343017578秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20526671409606934秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16070103645324707秒
ネットワークから姿勢データを得るまでの時間は　 : 0.21129918098449707秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15723872184753418秒
ネットワークから姿勢データを得るまでの時間は　 : 0.200974702835083秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15662360191345215秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2018880844116211秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17953848838806152秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016586780548095703秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15527915954589844秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017576217651367188秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15894222259521484秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016758441925048828秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15924072265625秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016779899597167969秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1563704013824463秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0020618438720703125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15080642700195312秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015480518341064453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15430021286010742秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017039775848388672秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15207529067993164秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001458883285522461秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1592092514038086秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015881061553955078秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17419219017028809秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001522064208984375秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15361809730529785秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015456676483154297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1523592472076416秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014927387237548828秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1541750431060791秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014350414276123047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1522998809814453秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016481876373291016秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1594679355621338秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001531362533569336秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15305590629577637秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016455650329589844秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1563575267791748秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014967918395996094秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15560293197631836秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001486063003540039秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15140533447265625秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014445781707763672秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15519261360168457秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016567707061767578秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1554241180419922秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015947818756103516秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15522241592407227秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015878677368164062秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16151666641235352秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015594959259033203秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18741965293884277秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017817020416259766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15787100791931152秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016241073608398438秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18184781074523926秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015354156494140625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1563420295715332秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016040802001953125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15864014625549316秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001543283462524414秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15433144569396973秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016219615936279297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15813517570495605秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015552043914794922秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15704560279846191秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015249252319335938秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15935087203979492秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001819610595703125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1607344150543213秒
ネットワークから姿勢データを得るまでの時間は　 : 0.00159454345703125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15362191200256348秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015444755554199219秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15599441528320312秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001603841781616211秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15599656105041504秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018684864044189453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1570136547088623秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016551017761230469秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15520119667053223秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017094612121582031秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1604630947113037秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016422271728515625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1823422908782959秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016608238220214844秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1567673683166504秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017161369323730469秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1531221866607666秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001657247543334961秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15566015243530273秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016429424285888672秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15721631050109863秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016999244689941406秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1541426181793213秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001683950424194336秒
